,city,height
0,Сиэтл,943
1,Сиэтл,740
2,Сиэтл,735
3,Сиэтл,722
4,Сиэтл,609
5,Сиэтл,605
6,Сиэтл,580
7,Сиэтл,574
8,Сиэтл,569
9,Сиэтл,543
10,Сиэтл,543
11,Сиэтл,520
12,Сиэтл,514
13,Сиэтл,514
14,Сиэтл,499
15,Сиэтл,498
16,Сиэтл,193
17,Сиэтл,487
18,Сиэтл,480
19,Сиэтл,466
20,Сиэтл,456
21,Сиэтл,454
22,Сиэтл,406
0,Питсбург,841
1,Питсбург,725
2,Питсбург,635
3,Питсбург,616
4,Питсбург,615
5,Питсбург,582
6,Питсбург,522
7,Питсбург,485
8,Питсбург,475
9,Питсбург,445
10,Питсбург,442
11,Питсбург,430
12,Питсбург,428
13,Питсбург,424
14,Питсбург,420
0,Новый Орлеан,697
1,Новый Орлеан,645
2,Новый Орлеан,531
3,Новый Орлеан,530
4,Новый Орлеан,481
5,Новый Орлеан,478
6,Новый Орлеан,450
7,Новый Орлеан,444
8,Новый Орлеан,438
9,Новый Орлеан,406
0,Монреаль,669
1,Монреаль,640
2,Монреаль,630
3,Монреаль,624
4,Монреаль,612
5,Монреаль,590
6,Монреаль,498
7,Монреаль,428
8,Монреаль,355
9,Монреаль,480
10,Монреаль,479
11,Монреаль,450
12,Монреаль,450
13,Монреаль,449
14,Монреаль,430
15,Монреаль,426
16,Монреаль,443
