price,lprice,square,rooms,floor,mfloor,station,metro,ametro,dmetro,link,add,lat,lon,district
12000000,16.300417207752275,60.0,3,1,9,метро Аннино,6 минут на транспорте,0,6,https://www.cian.ru/sale/flat/314948168/,"Чертановская ул., 66К2",55.59693,37.585664,район Чертаново Южное
12400000,16.333207030575267,60.1,3,1,9,метро Аннино,6 минут на транспорте,0,6,https://www.cian.ru/sale/flat/313019655/,"Чертановская ул., 66К2",55.59693,37.585664,район Чертаново Южное
11499999,16.257857506376954,37.9,1,16,20,метро Аннино,19 минут пешком,1,19,https://www.cian.ru/sale/flat/315677385/,"ул. Газопровод, 15",55.589274,37.61265,район Чертаново Южное
11950000,16.296241836341792,40.0,1,2,17,метро Аннино,19 минут пешком,1,19,https://www.cian.ru/sale/flat/316242727/,"ул. Газопровод, 15",55.589274,37.61265,район Чертаново Южное
36000000,17.399029496420383,120.0,4,1,9,метро Аннино,7 минут на транспорте,0,7,https://www.cian.ru/sale/flat/309425036/,"Старокачаловская ул., 14",55.569708,37.587596,район Северное Бутово
48000000,17.686711568872166,169.6,4,5,6,метро Аннино,7 минут на транспорте,0,7,https://www.cian.ru/sale/flat/312833274/,"Старокачаловская ул., 14",55.569708,37.587596,район Северное Бутово
13490000,16.41745922818394,48.8,2,10,12,метро Аннино,15 минут пешком,1,15,https://www.cian.ru/sale/flat/316119734/,"ул. Газопровод, 3К1",55.592418,37.604187,район Чертаново Южное
10200000,16.1378982782545,35.0,1,8,12,метро Аннино,15 минут пешком,1,15,https://www.cian.ru/sale/flat/316369375/,"ул. Газопровод, 3К1",55.592418,37.604187,район Чертаново Южное
10999000,16.213314917539254,48.0,2,1,12,метро Аннино,15 минут пешком,1,15,https://www.cian.ru/sale/flat/291272855/,"ул. Газопровод, 3К1",55.592418,37.604187,район Чертаново Южное
10500000,16.166885815127753,35.0,1,12,12,метро Аннино,15 минут пешком,1,15,https://www.cian.ru/sale/flat/313757139/,"ул. Газопровод, 3К1",55.592418,37.604187,район Чертаново Южное
11900000,16.292048958081757,41.9,1,14,14,метро Аннино,16 минут пешком,1,16,https://www.cian.ru/sale/flat/316733228/,"Старобитцевская ул., 15К1",55.575022,37.586338,район Северное Бутово
17500000,16.67771143889374,80.5,3,13,14,метро Аннино,16 минут пешком,1,16,https://www.cian.ru/sale/flat/313616920/,"Старобитцевская ул., 15К1",55.575022,37.586338,район Северное Бутово
11300000,16.240313283682568,39.0,1,11,14,метро Аннино,16 минут пешком,1,16,https://www.cian.ru/sale/flat/312824375/,"Старобитцевская ул., 15К1",55.575022,37.586338,район Северное Бутово
29900000,17.213369038360916,85.7,3,15,22,метро Аннино,14 минут пешком,1,14,https://www.cian.ru/sale/flat/313182812/,"Варшавское ш., 168",55.582925,37.581164,район Чертаново Южное
8000000,15.89495209964411,32.0,1,2,23,метро Аннино,14 минут пешком,1,14,https://www.cian.ru/sale/flat/308951918/,"Варшавское ш., 168",55.582925,37.581164,район Чертаново Южное
38000000,17.45309671769066,82.0,3,21,22,метро Аннино,14 минут пешком,1,14,https://www.cian.ru/sale/flat/316306593/,"Варшавское ш., 168",55.582925,37.581164,район Чертаново Южное
9500000,16.06680235657077,38.0,2,2,23,метро Аннино,14 минут пешком,1,14,https://www.cian.ru/sale/flat/308952282/,"Варшавское ш., 168",55.582925,37.581164,район Чертаново Южное
45000000,17.622173047734595,105.2,4,10,22,метро Аннино,14 минут пешком,1,14,https://www.cian.ru/sale/flat/309815449/,"Варшавское ш., 168",55.582925,37.581164,район Чертаново Южное
32000000,17.281246460764002,87.8,3,15,22,метро Аннино,14 минут пешком,1,14,https://www.cian.ru/sale/flat/312688100/,"Варшавское ш., 168",55.582925,37.581164,район Чертаново Южное
15500000,16.556350581889475,39.0,2,2,23,метро Аннино,14 минут пешком,1,14,https://www.cian.ru/sale/flat/316217578/,"Варшавское ш., 168",55.582925,37.581164,район Чертаново Южное
18900000,16.75467248002987,45.7,2,20,23,метро Аннино,14 минут пешком,1,14,https://www.cian.ru/sale/flat/313427353/,"Варшавское ш., 168",55.582925,37.581164,район Чертаново Южное
19600000,16.791040124200745,42.8,2,5,19,метро Аннино,14 минут пешком,1,14,https://www.cian.ru/sale/flat/315941240/,"Варшавское ш., 168",55.582925,37.581164,район Чертаново Южное
38100000,17.45572484009693,86.0,3,5,22,метро Аннино,14 минут пешком,1,14,https://www.cian.ru/sale/flat/314982979/,"Варшавское ш., 168",55.582925,37.581164,район Чертаново Южное
29900000,17.213369038360916,85.7,3,15,22,метро Аннино,14 минут пешком,1,14,https://www.cian.ru/sale/flat/316032541/,"Варшавское ш., 168",55.582925,37.581164,район Чертаново Южное
5540000,15.527505058723468,21.0,1,2,23,метро Лесопарковая,4 минуты пешком,1,4,https://www.cian.ru/sale/flat/316822885/,"Варшавское ш., 168",55.582925,37.581164,район Чертаново Южное
7320000,15.806120885937494,27.0,1,2,23,метро Лесопарковая,4 минуты пешком,1,4,https://www.cian.ru/sale/flat/308933557/,"Варшавское ш., 168",55.582925,37.581164,район Чертаново Южное
17200000,16.660419941783683,48.1,2,4,23,метро Лесопарковая,4 минуты пешком,1,4,https://www.cian.ru/sale/flat/312870423/,"Варшавское ш., 168",55.582925,37.581164,район Чертаново Южное
15500000,16.556350581889475,61.8,3,7,12,метро Аннино,6 минут на транспорте,0,6,https://www.cian.ru/sale/flat/316626043/,"Кировоградская ул., 42К1",55.601299,37.597971,район Чертаново Южное
12700000,16.35711255142882,47.0,2,10,12,метро Аннино,6 минут на транспорте,0,6,https://www.cian.ru/sale/flat/314868715/,"Кировоградская ул., 42К1",55.601299,37.597971,район Чертаново Южное
11600000,16.266515656076592,46.9,2,7,9,метро Аннино,6 минут на транспорте,0,6,https://www.cian.ru/sale/flat/310669416/,"Кировоградская ул., 42К1",55.601299,37.597971,район Чертаново Южное
10500000,16.166885815127753,38.4,1,3,17,метро Аннино,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/314859180/,"Россошанская ул., 10",55.591955,37.614123,район Чертаново Южное
21000000,16.860032995687696,76.4,3,15,17,метро Аннино,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/314970470/,"Россошанская ул., 10",55.591955,37.614123,район Чертаново Южное
27500000,17.1296965626368,81.4,3,2,26,метро Аннино,9 минут пешком,1,9,https://www.cian.ru/sale/flat/289774737/,"Варшавское ш., 141к7",55.589977,37.601205,район Чертаново Южное
16400000,16.612791892794426,47.1,2,19,26,метро Аннино,9 минут пешком,1,9,https://www.cian.ru/sale/flat/314301952/,"Варшавское ш., 141к7",55.589977,37.601205,район Чертаново Южное
32000000,17.281246460764002,81.2,4,6,25,метро Аннино,9 минут пешком,1,9,https://www.cian.ru/sale/flat/314561692/,"Варшавское ш., 141к7",55.589977,37.601205,район Чертаново Южное
18000000,16.70588231586044,47.0,1,19,25,метро Аннино,10 минут пешком,1,10,https://www.cian.ru/sale/flat/316823593/,"Варшавское ш., 141к10",55.589203,37.602714,район Чертаново Южное
15800000,16.575520497997196,46.3,1,10,25,метро Аннино,10 минут пешком,1,10,https://www.cian.ru/sale/flat/315310307/,"Варшавское ш., 141к10",55.589203,37.602714,район Чертаново Южное
24000000,16.99356438831222,70.0,2,25,25,метро Улица Академика Янгеля,10 минут пешком,1,10,https://www.cian.ru/sale/flat/316819595/,"Варшавское ш., 141к10",55.589203,37.602714,район Чертаново Южное
29000000,17.182806387950748,76.2,3,2,14,метро Аннино,20 минут пешком,1,20,https://www.cian.ru/sale/flat/315611647/,"Россошанская ул., 4к5",55.591065,37.61026,район Чертаново Южное
10900000,16.204273347199372,39.0,2,10,12,метро Аннино,8 минут пешком,1,8,https://www.cian.ru/sale/flat/316175483/,"Варшавское ш., 145к5",55.579694,37.601043,район Чертаново Южное
23300000,16.963963918535928,65.3,2,3,23,метро Аннино,19 минут пешком,1,19,https://www.cian.ru/sale/flat/315658566/,"ул. Академика Янгеля, 2",55.596457,37.599822,район Чертаново Южное
23500000,16.972510979114386,65.3,2,3,22,метро Аннино,19 минут пешком,1,19,https://www.cian.ru/sale/flat/315455809/,"ул. Академика Янгеля, 2",55.596457,37.599822,район Чертаново Южное
15800000,16.575520497997196,42.9,1,13,23,метро Аннино,19 минут пешком,1,19,https://www.cian.ru/sale/flat/314895989/,"ул. Академика Янгеля, 2",55.596457,37.599822,район Чертаново Южное
23300000,16.963963918535928,65.3,2,3,22,метро Аннино,19 минут пешком,1,19,https://www.cian.ru/sale/flat/316632396/,"ул. Академика Янгеля, 2",55.596457,37.599822,район Чертаново Южное
23500000,16.972510979114386,65.3,2,3,22,метро Аннино,19 минут пешком,1,19,https://www.cian.ru/sale/flat/315381855/,"ул. Академика Янгеля, 2",55.596457,37.599822,район Чертаново Южное
17200000,16.660419941783683,42.8,1,16,23,метро Аннино,19 минут пешком,1,19,https://www.cian.ru/sale/flat/312743408/,"ул. Академика Янгеля, 2",55.596457,37.599822,район Чертаново Южное
16500000,16.61887093887081,42.6,1,21,23,метро Улица Академика Янгеля,3 минуты пешком,1,3,https://www.cian.ru/sale/flat/315833709/,"ул. Академика Янгеля, 2",55.596457,37.599822,район Чертаново Южное
9950000,16.113083109134777,38.1,1,3,16,метро Аннино,3 минуты пешком,1,3,https://www.cian.ru/sale/flat/316546062/,"Варшавское ш., 158К1",55.58554,37.59648,район Чертаново Южное
21500000,16.883563493097892,78.4,3,14,22,метро Аннино,3 минуты пешком,1,3,https://www.cian.ru/sale/flat/315631622/,"Варшавское ш., 160к1",55.583551,37.59295,район Чертаново Южное
30000000,17.216707939626428,101.9,4,6,22,метро Лесопарковая,18 минут пешком,1,18,https://www.cian.ru/sale/flat/314329589/,"Варшавское ш., 160к1",55.583551,37.59295,район Чертаново Южное
15300000,16.543363386362664,67.2,3,7,12,метро Аннино,16 минут пешком,1,16,https://www.cian.ru/sale/flat/314330203/,"ул. Газопровод, 1К6",55.59424,37.603325,район Чертаново Южное
15300000,16.543363386362664,65.5,3,7,12,метро Аннино,16 минут пешком,1,16,https://www.cian.ru/sale/flat/316618811/,"ул. Газопровод, 1К6",55.59424,37.603325,район Чертаново Южное
15300000,16.543363386362664,65.5,3,7,12,метро Аннино,16 минут пешком,1,16,https://www.cian.ru/sale/flat/314836411/,"ул. Газопровод, 1К6",55.59424,37.603325,район Чертаново Южное
15300000,16.543363386362664,67.2,3,7,12,метро Аннино,16 минут пешком,1,16,https://www.cian.ru/sale/flat/310468203/,"ул. Газопровод, 1К6",55.59424,37.603325,район Чертаново Южное
15300000,16.543363386362664,65.5,3,7,12,метро Аннино,16 минут пешком,1,16,https://www.cian.ru/sale/flat/315349012/,"ул. Газопровод, 1К6",55.59424,37.603325,район Чертаново Южное
22698000,16.93778737284322,72.0,3,9,25,метро Аннино,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/316189582/,"Чертановская ул., 65",55.596249,37.589033,район Чертаново Южное
30000000,17.216707939626428,108.6,3,3,9,метро Аннино,7 минут на транспорте,0,7,https://www.cian.ru/sale/flat/315793242/,"Старокачаловская ул., 6",55.569169,37.588377,район Северное Бутово
43000000,17.576710673657836,182.9,5,9,10,метро Аннино,7 минут на транспорте,0,7,https://www.cian.ru/sale/flat/315514483/,"Старокачаловская ул., 6",55.569169,37.588377,район Северное Бутово
10730000,16.18855411460688,36.0,1,3,16,метро Аннино,6 минут на транспорте,0,6,https://www.cian.ru/sale/flat/316620553/,"Кировоградская ул., 44АК2",55.598914,37.593462,район Чертаново Южное
11200000,16.231424336265324,32.0,1,2,33,метро Аннино,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/314383845/,"Дорожная ул., 46к1",55.587026,37.612173,район Чертаново Южное
10350000,16.15249707767565,38.0,1,17,17,метро Аннино,18 минут пешком,1,18,https://www.cian.ru/sale/flat/299241007/,"ул. Газопровод, 13к1",55.589717,37.610404,район Чертаново Южное
9500000,16.06680235657077,37.5,1,1,17,метро Аннино,18 минут пешком,1,18,https://www.cian.ru/sale/flat/314926950/,"ул. Газопровод, 13к1",55.589717,37.610404,район Чертаново Южное
11800000,16.283610089435893,39.0,1,7,17,метро Аннино,18 минут пешком,1,18,https://www.cian.ru/sale/flat/309022887/,"ул. Газопровод, 13к1",55.589717,37.610404,район Чертаново Южное
12200000,16.316946509703484,50.4,2,5,14,метро Аннино,17 минут пешком,1,17,https://www.cian.ru/sale/flat/308935869/,"Старобитцевская ул., 7",55.573322,37.590623,район Северное Бутово
18500000,16.733281290048552,65.0,2,5,17,метро Аннино,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/316406349/,"Россошанская ул., 4К1",55.593253,37.611069,район Чертаново Южное
9950000,16.113083109134777,34.7,1,5,16,метро Аннино,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/312581759/,"Россошанская ул., 7К1А",55.594891,37.610835,район Чертаново Южное
15700000,16.569171270318538,64.0,3,13,16,метро Аннино,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/315566635/,"Россошанская ул., 7К1А",55.594891,37.610835,район Чертаново Южное
10500000,16.166885815127753,39.1,1,3,12,метро Аннино,7 минут на транспорте,0,7,https://www.cian.ru/sale/flat/307502362/,"ул. Академика Янгеля, 14К1",55.599728,37.581586,район Чертаново Южное
31100000,17.252718377149463,104.5,3,4,9,метро Аннино,7 минут на транспорте,0,7,https://www.cian.ru/sale/flat/315453465/,"Старокачаловская ул., 8",55.56926,37.589464,район Северное Бутово
24000000,16.99356438831222,64.7,3,12,20,метро Аннино,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/316080960/,"Дорожная ул., 46к2",55.586573,37.611724,район Чертаново Южное
13500000,16.41820024340866,42.0,1,19,20,метро Аннино,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/313589023/,"Дорожная ул., 46к2",55.586573,37.611724,район Чертаново Южное
14500000,16.489659207390805,54.0,2,12,17,метро Аннино,13 минут пешком,1,13,https://www.cian.ru/sale/flat/316393761/,"Варшавское ш., 152К4",55.592307,37.595429,район Чертаново Южное
11900000,16.292048958081757,48.9,2,4,9,метро Аннино,20 минут пешком,1,20,https://www.cian.ru/sale/flat/316212044/,"Россошанская ул., 2К2",55.593273,37.607412,район Чертаново Южное
9499999,16.066802251307607,31.0,1,1,9,метро Улица Академика Янгеля,6 минут пешком,1,6,https://www.cian.ru/sale/flat/315221837/,"Россошанская ул., 2К2",55.593273,37.607412,район Чертаново Южное
